regionalkey_,toas_sum_county,toas_aff_sum_county,toas_ratio
01001,190.09053500000002,190.09053500000002,1.0
01002,73.34053335714285,73.34053335714285,1.0
01003,298.12882210714287,298.12882210714287,1.0
01004,135.13517230476188,135.13517230476188,1.0
01053,30.45329728571429,30.45329728571429,1.0
01054,53.04754858928571,53.04754858928571,1.0
01056,396.8141772857143,396.8141772857143,1.0
01058,124.45420114285713,124.45420114285713,1.0
01059,229.42339002857142,229.42339002857142,1.0
01060,230.8455668928571,230.8455668928571,1.0
01061,100.09978242857143,100.09978242857143,1.0
02000,2576.514447339286,2576.9123202857145,1.0001544229440822
03103,340.0749764285714,0.0,0.0
03151,2.315451,0.0,0.0
03153,146.88981200000003,0.0,0.0
03155,37.671159857142854,0.0,0.0
03157,105.46270573809525,0.0,0.0
03158,43.226291714285715,0.0,0.0
03159,128.1369871547619,0.0,0.0
03241,525.9296480642856,7.824013000000001,0.01487653915080987
03251,86.02750211428571,0.0,0.0
03252,44.172371857142856,0.0,0.0
03254,143.4828834,0.0,0.0
03256,24.471465857142853,0.0,0.0
03257,8.283661033333335,0.0,0.0
03353,57.89591728571428,57.89591728571428,1.0
03355,11.870649714285713,0.0,0.0
03356,13.331985000000001,0.0,0.0
03357,8.637892428571428,0.0,0.0
03360,95.53529757142857,0.0,0.0
03403,5087.466666666667,0.0,0.0
03404,603.2918488571428,101.17263742857143,0.16770098522005514
03451,149.94514085714286,0.0,0.0
03452,62.865025450000005,0.0,0.0
03454,212.8923743714286,0.0,0.0
03456,23.343968714285715,0.0,0.0
03458,17.25478071428571,0.0,0.0
03459,94.13738753571428,9.691064142857144,0.1029459643670322
04011,189.58814285714286,31.68652366666667,0.16713346725772232
04012,89.74866657142857,0.0,0.0
05111,188.7135441309524,188.7135441309524,1.0
05112,987.2470067857143,987.2470067857143,1.0
05113,116.05324727142855,116.05324727142855,1.0
05114,214.20826532857146,214.20826532857146,1.0
05116,685.8051060238096,685.8051060238096,1.0
05117,338.7136718571429,338.7136718571429,1.0
05119,254.82856185714286,254.82856185714286,1.0
05120,226.9677337928571,226.9677337928571,1.0
05122,421.22782859999995,421.22782859999995,1.0
05158,444.0400740357143,444.0400740357143,1.0
05162,162.22244571428573,162.22244571428573,1.0
05166,341.7645148452381,341.7645148452381,1.0
05170,170.70616342857144,170.70616342857144,1.0
05314,742.1544240654762,742.1544240654762,1.0
05315,2669.686448595238,2330.9590051666664,0.8731208889318046
05316,621.5471545,621.5471545,1.0
05334,280.7597412857143,280.7597412857143,1.0
05358,1157.1717603571428,1157.1717603571428,1.0
05362,356.76880111785715,356.76880111785715,1.0
05366,99.64129775,99.64129775,1.0
05370,3.341045666666666,3.341045666666666,1.0
