bvdid;postcode
DE2190074730;30659
DE8230012084;93128
DE7010001556;79618
DE3330189011;19053
DE3030010151;09116
DE3170016325;39104
DE2310001150;49205
DE5210007411;47807
DE8130002902;86653
DE2310035614;49074
DE8190030376;90571
DE5050083451;40724
DE2150051045;22880
DE8310001720;97486
DE5330081690;60596
DE8110086193;95183
DE8270039268;89281
DE4250403255;59320
DE5010368714;52078
DE2250009129;26871
DE7370014281;73479
DE7330000044;71034
DE8230034438;93055
DE6250002357;65510
DE2390012237;25421
DE4250250868;48155
DE8330327310;85609
DE7330357884;70569
DE2011618860;13407
DE4070262441;44579
DE7330582336;71111
DE5050250585;40212
DE7350001270;78166
DE8270014763;88400
DE2370117971;26389
DE5230010582;41065
DE7170188807;68526
DE4050012574;45699
DE2190010153;30179
DE2310068271;49090
DE2150028161;21220
DE4310000835;58256
DE4050278351;44649
DE8190491020;91522
DE2050366792;27711
DE8330281438;85748
DE7210052166;77972
DE8270006417;89073
DE2030099068;38118
DE5010360116;52511
DE3070360833;01067
DE7290006081;66359
DE7250069211;66482
DE2090050656;24939
DE7370089253;73525
DE5030289122;53229
DE7370139595;73479
DE4010011756;33758
DE2290087675;25358
DE8310217408;97437
DE7030080692;73033
DE4050330436;45768
DE8190126108;91154
DE7230006725;75172
DE6150290254;34125
DE2011969067;10785
DE4070007060;44141
DE4250012679;48429
DE2150000247;20535
DE4070336762;44137
DE2170018029;31737
DE8190520784;91634
DE3270094426;16909
DE2050664633;49661
DE8050000273;96052
DE2190267550;30175
DE8270065687;89340
DE2390024514;22941
DE4310003807;58285
DE7370000495;74420
DE7330008022;72072
DE8170703985;82256
DE4270019452;59929
DE8270148540;89079
DE5190760184;50667
DE7290001425;66119
DE8170386954;85609
DE6130134024;63452
DE2290000781;24787
DE6210200551;63263
DE8230034432;93055
DE7330391417;71640
DE5090092650;46446
DE6070023094;60594
DE2030189613;38112
DE5050001653;40476
DE2030118291;38229
DE8030010526;86316
DE2110001226;34346
DE7210001405;77704
DE5190038818;50997
DE4070082461;44141
DE5410130598;42489
DE3190265525;18147
DE7050007540;69123
DE2170055629;37697
DE2150386047;22767
DE2151181411;20144
DE3070011954;01156
DE5170093809;56428
DE6150016644;36275
DE4190003651;58119
DE7330254947;70567
DE6050235002;64293
DE4330003118;57234
DE2290048765;24539
DE7110002557;74343
DE2010078133;12053
DE5190488656;50735
DE2150292715;20457
DE7130102586;88662
DE7110211647;76316
DE4170001563;32602
DE8130094151;86529
DE2410005856;49824
DE5410051317;42275
DE8330239621;85716
DE3410001430;07745
DE5030573729;53842
DE5330158450;51379
DE8330405367;85609
DE6150009237;34117
DE4050212859;44791
DE4070306578;44137
DE6090119918;36043
DE7330600928;70565
DE7050000846;75031
DE5030391364;53842
DE7290159954;66113
DE2310003304;49090
DE5050543592;40597
DE7130004494;78224
DE5270035692;41460
DE2250014420;26835
DE8090000870;96476
DE7330007624;73765
DE7270084797;72762
DE6210134331;63263
DE2050632589;28832
DE7150175343;68309
DE5270131010;41460
DE4010024485;33617
DE8170500767;80802
DE2010376582;10117
DE2151050350;22761
DE5330125534;40880
DE8110000460;95126
DE6150290264;34125
DE5250000423;45476
DE2150036347;22041
DE2050211684;28237
DE6050081972;64293
DE7330082891;70565
DE7010131896;79295
DE2010058395;13187
DE4250053190;48683
DE8310249836;97080
DE6210103484;63069
DE2150904790;20457
DE8170006563;80807
DE7090061932;67655
DE5030327959;53111
DE5190588735;50968
DE8210018926;88326
DE8250066686;83404
DE2230034776;24159
DE2010193173;14979
DE2150056107;21680
DE2011199305;10785
DE5070011836;47169
DE6210269909;63263
DE4290007985;59494
DE5350036408;54340
DE2390145066;22848
DE5270038869;41464
DE8170691087;80687
DE2270013638;23560
DE8330353504;85622
DE2150011682;22761
DE2110003459;37079
DE2150616164;22769
DE8190009649;90459
DE7330804899;70191
DE7110222120;60528
DE3150390533;04229
DE3050217042;01968
DE2030174116;38122
DE4250293113;48282
DE7270175176;72762
DE5190546822;51371
DE7110009673;76275
DE7170018741;68229
DE5130037549;47638
DE5230319570;41199
DE5350037488;54516
DE5110100072;45136
DE4170006797;32545
DE2190081778;31712
DE5190398809;50968
DE4090112751;45886
DE7050001066;69126
DE8250004036;83104
DE8330155332;81249
DE6110307952;35576
DE5190004338;50968
DE8150074336;87700
DE8190469178;91083
DE8090000605;96484
DE7370085568;89518
DE8330192135;85716
DE4290007835;33100
DE3210010172;98673
DE7270120832;72348
DE8150009509;87700
DE5270095655;41515
DE8270119209;89079
DE2370185364;26919
DE6190229318;55118
DE2190012101;30916
DE5190450211;50668
DE2390066304;25479
DE7050136506;69115
DE4150001060;59069
DE5030217616;53225
DE6070005794;60327
DE4030009689;46325
DE8270281272;88457
DE3130127296;06237
DE2151096987;22761
DE3350000916;39576
DE5010032464;52134
DE4110000440;58313
DE8190153865;90459
DE8190418830;91757
DE7050173394;69412
DE5410003606;42289
